0,3.50302e+00,8.22852e+02,8.39102e+02,1.12303e+03,6.77291e+02,9.73155e+02
200,4.32748e+02,8.13141e+02,8.14736e+02,1.08745e+03,6.45069e+02,9.59350e+02
400,4.60244e+02,8.05456e+02,7.98270e+02,1.07683e+03,6.28432e+02,9.47050e+02
600,4.87751e+02,8.01659e+02,7.87398e+02,1.07319e+03,6.18616e+02,9.36175e+02
800,5.15460e+02,7.99965e+02,7.79139e+02,1.06538e+03,6.14800e+02,9.25268e+02
1000,5.43056e+02,7.96976e+02,7.74136e+02,1.05947e+03,6.08665e+02,9.14513e+02
1200,5.70516e+02,7.94477e+02,7.69435e+02,1.05905e+03,6.05624e+02,9.08944e+02
1400,5.98065e+02,7.95107e+02,7.66645e+02,1.05520e+03,6.02486e+02,9.02576e+02
1600,6.25611e+02,7.95377e+02,7.63964e+02,1.05098e+03,6.00066e+02,8.98942e+02
1800,6.53095e+02,7.94809e+02,7.62457e+02,1.04924e+03,5.98248e+02,8.95766e+02
2000,6.80604e+02,7.95563e+02,7.61013e+02,1.04719e+03,5.98406e+02,8.92903e+02
2200,7.08534e+02,7.94767e+02,7.60065e+02,1.04533e+03,5.97881e+02,8.90534e+02
2400,7.36079e+02,7.94669e+02,7.59260e+02,1.04367e+03,5.95980e+02,8.87908e+02
2600,7.63517e+02,7.93153e+02,7.60048e+02,1.04157e+03,5.95585e+02,8.86668e+02
2800,7.91041e+02,7.93001e+02,7.58668e+02,1.04158e+03,5.96005e+02,8.85402e+02
3000,8.18510e+02,7.93476e+02,7.58094e+02,1.04032e+03,5.94671e+02,8.84244e+02
3200,8.46109e+02,7.95431e+02,7.56833e+02,1.03886e+03,5.94666e+02,8.82625e+02
3400,8.73632e+02,7.94799e+02,7.57187e+02,1.03834e+03,5.94634e+02,8.82764e+02
3600,9.01417e+02,7.93948e+02,7.56769e+02,1.03796e+03,5.94407e+02,8.81974e+02
3800,9.29004e+02,7.94554e+02,7.56503e+02,1.03784e+03,5.95058e+02,8.80854e+02
4000,9.56499e+02,7.94585e+02,7.56459e+02,1.03767e+03,5.94183e+02,8.80634e+02
4200,9.83948e+02,7.94614e+02,7.56285e+02,1.03765e+03,5.95227e+02,8.80026e+02
4400,1.01144e+03,7.94864e+02,7.55579e+02,1.03776e+03,5.94378e+02,8.79565e+02
4600,1.03900e+03,7.93758e+02,7.56053e+02,1.03739e+03,5.94714e+02,8.78980e+02
4800,1.06674e+03,7.94523e+02,7.55374e+02,1.03698e+03,5.94359e+02,8.78142e+02
5000,1.09433e+03,7.94715e+02,7.55969e+02,1.03722e+03,5.94468e+02,8.77635e+02
5200,1.12186e+03,7.94582e+02,7.55829e+02,1.03722e+03,5.94555e+02,8.77644e+02
5400,1.14935e+03,7.94474e+02,7.55796e+02,1.03719e+03,5.94458e+02,8.77576e+02
5600,1.17677e+03,7.94394e+02,7.55740e+02,1.03720e+03,5.94400e+02,8.77537e+02
5800,1.20436e+03,7.94402e+02,7.55761e+02,1.03714e+03,5.94449e+02,8.77480e+02
6000,1.23205e+03,7.94327e+02,7.55776e+02,1.03714e+03,5.94438e+02,8.77503e+02
6200,1.25985e+03,7.94257e+02,7.55764e+02,1.03714e+03,5.94406e+02,8.77461e+02
6400,1.28735e+03,7.94101e+02,7.55739e+02,1.03711e+03,5.94329e+02,8.77437e+02
6600,1.31484e+03,7.94141e+02,7.55697e+02,1.03705e+03,5.94435e+02,8.77391e+02
6800,1.34227e+03,7.93992e+02,7.55778e+02,1.03705e+03,5.94356e+02,8.77358e+02
7000,1.36970e+03,7.93958e+02,7.55728e+02,1.03712e+03,5.94340e+02,8.77339e+02
7200,1.39715e+03,7.93926e+02,7.55717e+02,1.03721e+03,5.94380e+02,8.77316e+02
7400,1.42462e+03,7.93949e+02,7.55739e+02,1.03731e+03,5.94327e+02,8.77282e+02
7600,1.45263e+03,7.93880e+02,7.55752e+02,1.03737e+03,5.94305e+02,8.77307e+02
7800,1.48008e+03,7.93909e+02,7.55656e+02,1.03732e+03,5.94197e+02,8.77315e+02
8000,1.50750e+03,7.94033e+02,7.55602e+02,1.03722e+03,5.94096e+02,8.77303e+02
8200,1.53489e+03,7.94032e+02,7.55600e+02,1.03722e+03,5.94094e+02,8.77303e+02
8400,1.56249e+03,7.94031e+02,7.55599e+02,1.03722e+03,5.94093e+02,8.77302e+02
8600,1.58999e+03,7.94030e+02,7.55601e+02,1.03722e+03,5.94094e+02,8.77302e+02
8800,1.61763e+03,7.94029e+02,7.55600e+02,1.03722e+03,5.94094e+02,8.77302e+02
9000,1.64509e+03,7.94028e+02,7.55600e+02,1.03722e+03,5.94093e+02,8.77300e+02
9200,1.67252e+03,7.94028e+02,7.55601e+02,1.03722e+03,5.94093e+02,8.77300e+02
9400,1.70008e+03,7.94028e+02,7.55600e+02,1.03722e+03,5.94092e+02,8.77300e+02
9600,1.72747e+03,7.94027e+02,7.55601e+02,1.03722e+03,5.94092e+02,8.77299e+02
9800,1.75503e+03,7.94028e+02,7.55599e+02,1.03721e+03,5.94092e+02,8.77297e+02
10000,1.78250e+03,7.94028e+02,7.55598e+02,1.03721e+03,5.94091e+02,8.77296e+02
