0,3.66666e+00,1.64215e+03,1.67536e+03,2.24293e+03,1.35155e+03,1.94326e+03
200,4.62806e+02,1.62267e+03,1.62625e+03,2.17163e+03,1.28689e+03,1.91536e+03
400,4.89776e+02,1.60706e+03,1.59292e+03,2.15018e+03,1.25345e+03,1.89046e+03
600,5.16740e+02,1.59912e+03,1.57095e+03,2.14281e+03,1.23362e+03,1.86856e+03
800,5.43713e+02,1.59563e+03,1.55428e+03,2.12708e+03,1.22589e+03,1.84639e+03
1000,5.70631e+02,1.58960e+03,1.54405e+03,2.11511e+03,1.21351e+03,1.82483e+03
1200,5.98172e+02,1.58448e+03,1.53442e+03,2.11429e+03,1.20746e+03,1.81345e+03
1400,6.25060e+02,1.58543e+03,1.52886e+03,2.10659e+03,1.20105e+03,1.80067e+03
1600,6.52024e+02,1.58596e+03,1.52350e+03,2.09807e+03,1.19615e+03,1.79312e+03
1800,6.79011e+02,1.58451e+03,1.52039e+03,2.09444e+03,1.19249e+03,1.78670e+03
2000,7.05906e+02,1.58599e+03,1.51740e+03,2.09025e+03,1.19286e+03,1.78085e+03
2200,7.32987e+02,1.58449e+03,1.51552e+03,2.08648e+03,1.19190e+03,1.77602e+03
2400,7.59966e+02,1.58428e+03,1.51395e+03,2.08311e+03,1.18796e+03,1.77078e+03
2600,7.87020e+02,1.58150e+03,1.51545e+03,2.07916e+03,1.18744e+03,1.76817e+03
2800,8.14211e+02,1.58086e+03,1.51277e+03,2.07915e+03,1.18818e+03,1.76566e+03
3000,8.41379e+02,1.58160e+03,1.51167e+03,2.07658e+03,1.18593e+03,1.76334e+03
3200,8.68586e+02,1.58467e+03,1.50896e+03,2.07380e+03,1.18554e+03,1.75989e+03
3400,8.95461e+02,1.58363e+03,1.50969e+03,2.07286e+03,1.18546e+03,1.76016e+03
3600,9.22482e+02,1.58208e+03,1.50907e+03,2.07208e+03,1.18513e+03,1.75887e+03
3800,9.49459e+02,1.58326e+03,1.50828e+03,2.07151e+03,1.18606e+03,1.75648e+03
4000,9.76526e+02,1.58343e+03,1.50833e+03,2.07097e+03,1.18455e+03,1.75582e+03
4200,1.00382e+03,1.58347e+03,1.50747e+03,2.07135e+03,1.18657e+03,1.75453e+03
4400,1.03087e+03,1.58359e+03,1.50618e+03,2.07136e+03,1.18521e+03,1.75321e+03
4600,1.05787e+03,1.58196e+03,1.50677e+03,2.07079e+03,1.18599e+03,1.75230e+03
4800,1.08483e+03,1.58320e+03,1.50563e+03,2.06991e+03,1.18520e+03,1.75096e+03
5000,1.11174e+03,1.58340e+03,1.50652e+03,2.07058e+03,1.18540e+03,1.74952e+03
5200,1.13872e+03,1.58316e+03,1.50628e+03,2.07058e+03,1.18556e+03,1.74955e+03
5400,1.16567e+03,1.58299e+03,1.50625e+03,2.07049e+03,1.18542e+03,1.74943e+03
5600,1.19286e+03,1.58286e+03,1.50613e+03,2.07050e+03,1.18531e+03,1.74934e+03
5800,1.21983e+03,1.58289e+03,1.50616e+03,2.07034e+03,1.18543e+03,1.74923e+03
6000,1.24680e+03,1.58277e+03,1.50616e+03,2.07032e+03,1.18544e+03,1.74929e+03
6200,1.27377e+03,1.58269e+03,1.50612e+03,2.07035e+03,1.18538e+03,1.74921e+03
6400,1.30110e+03,1.58245e+03,1.50608e+03,2.07030e+03,1.18526e+03,1.74916e+03
6600,1.32814e+03,1.58252e+03,1.50602e+03,2.07017e+03,1.18548e+03,1.74909e+03
6800,1.35512e+03,1.58227e+03,1.50614e+03,2.07018e+03,1.18534e+03,1.74903e+03
7000,1.38215e+03,1.58216e+03,1.50605e+03,2.07029e+03,1.18535e+03,1.74898e+03
7200,1.40915e+03,1.58208e+03,1.50603e+03,2.07045e+03,1.18544e+03,1.74890e+03
7400,1.43680e+03,1.58211e+03,1.50609e+03,2.07067e+03,1.18540e+03,1.74884e+03
7600,1.46380e+03,1.58198e+03,1.50613e+03,2.07079e+03,1.18536e+03,1.74887e+03
7800,1.49081e+03,1.58201e+03,1.50599e+03,2.07068e+03,1.18513e+03,1.74887e+03
8000,1.51783e+03,1.58216e+03,1.50589e+03,2.07050e+03,1.18491e+03,1.74883e+03
8200,1.54479e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18491e+03,1.74883e+03
8400,1.57191e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18491e+03,1.74883e+03
8600,1.59889e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18491e+03,1.74883e+03
8800,1.62595e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18491e+03,1.74883e+03
9000,1.65296e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18491e+03,1.74883e+03
9200,1.68002e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18490e+03,1.74883e+03
9400,1.70702e+03,1.58215e+03,1.50589e+03,2.07049e+03,1.18490e+03,1.74883e+03
9600,1.73406e+03,1.58215e+03,1.50589e+03,2.07048e+03,1.18490e+03,1.74883e+03
9800,1.76120e+03,1.58215e+03,1.50589e+03,2.07048e+03,1.18490e+03,1.74882e+03
10000,1.78823e+03,1.58215e+03,1.50589e+03,2.07048e+03,1.18490e+03,1.74882e+03
