0,4.38427e+00,7.80765e+02,5.96237e+02
100,4.79280e+02,7.75775e+02,5.91291e+02
200,4.97087e+02,7.74171e+02,5.87376e+02
300,5.15561e+02,7.72274e+02,5.82605e+02
400,5.34062e+02,7.69112e+02,5.77941e+02
500,5.52763e+02,7.66838e+02,5.74085e+02
600,5.71308e+02,7.65648e+02,5.71793e+02
700,5.89905e+02,7.65587e+02,5.69388e+02
800,6.08590e+02,7.65102e+02,5.67148e+02
900,6.26914e+02,7.65372e+02,5.66033e+02
1000,6.45634e+02,7.64813e+02,5.64556e+02
1100,6.64161e+02,7.65073e+02,5.62559e+02
1200,6.82678e+02,7.63055e+02,5.61037e+02
1300,7.01035e+02,7.62800e+02,5.60208e+02
1400,7.19270e+02,7.63940e+02,5.59274e+02
1500,7.37637e+02,7.63163e+02,5.58228e+02
1600,7.56333e+02,7.64725e+02,5.57343e+02
1700,7.74781e+02,7.63569e+02,5.56488e+02
1800,7.93006e+02,7.64568e+02,5.55839e+02
1900,8.11341e+02,7.64295e+02,5.55408e+02
2000,8.29690e+02,7.65336e+02,5.54698e+02
2100,8.48175e+02,7.64527e+02,5.54324e+02
2200,8.66699e+02,7.65142e+02,5.53958e+02
2300,8.85229e+02,7.65405e+02,5.53698e+02
2400,9.04221e+02,7.65337e+02,5.53326e+02
2500,9.22391e+02,7.65807e+02,5.52791e+02
2600,9.40739e+02,7.64334e+02,5.52866e+02
2700,9.59327e+02,7.64491e+02,5.52830e+02
2800,9.77877e+02,7.64111e+02,5.52827e+02
2900,9.96421e+02,7.64353e+02,5.52746e+02
3000,1.01504e+03,7.64820e+02,5.52350e+02
3100,1.03359e+03,7.65236e+02,5.51904e+02
3200,1.05202e+03,7.66979e+02,5.51616e+02
3300,1.07036e+03,7.66278e+02,5.51777e+02
3400,1.08891e+03,7.66673e+02,5.51902e+02
3500,1.10731e+03,7.65107e+02,5.51631e+02
3600,1.12594e+03,7.65702e+02,5.51316e+02
3700,1.14451e+03,7.66056e+02,5.51190e+02
3800,1.16303e+03,7.66519e+02,5.51136e+02
3900,1.18161e+03,7.66027e+02,5.51016e+02
4000,1.19979e+03,7.66722e+02,5.51030e+02
4100,1.21819e+03,7.66665e+02,5.50628e+02
4200,1.23672e+03,7.67046e+02,5.50724e+02
4300,1.25514e+03,7.65675e+02,5.50446e+02
4400,1.27340e+03,7.67629e+02,5.50145e+02
4500,1.29147e+03,7.67557e+02,5.50392e+02
4600,1.30974e+03,7.66024e+02,5.50194e+02
4700,1.32795e+03,7.65483e+02,5.50408e+02
4800,1.34600e+03,7.66917e+02,5.50266e+02
4900,1.36432e+03,7.67052e+02,5.50265e+02
5000,1.38260e+03,7.67085e+02,5.50072e+02
5100,1.40082e+03,7.67010e+02,5.50056e+02
5200,1.41912e+03,7.66937e+02,5.50046e+02
5300,1.43775e+03,7.66863e+02,5.50042e+02
5400,1.45641e+03,7.66806e+02,5.50029e+02
5500,1.47486e+03,7.66763e+02,5.50019e+02
5600,1.49344e+03,7.66792e+02,5.50021e+02
5700,1.51205e+03,7.66772e+02,5.50008e+02
5800,1.53073e+03,7.66816e+02,5.50003e+02
5900,1.54903e+03,7.66815e+02,5.49979e+02
6000,1.56737e+03,7.66774e+02,5.49971e+02
6100,1.58583e+03,7.66774e+02,5.49976e+02
6200,1.60414e+03,7.66668e+02,5.49965e+02
6300,1.62267e+03,7.66554e+02,5.49912e+02
6400,1.64127e+03,7.66487e+02,5.49888e+02
6500,1.65971e+03,7.66455e+02,5.49896e+02
6600,1.67838e+03,7.66503e+02,5.49863e+02
6700,1.69695e+03,7.66439e+02,5.49881e+02
6800,1.71543e+03,7.66366e+02,5.49854e+02
6900,1.73406e+03,7.66339e+02,5.49817e+02
7000,1.75253e+03,7.66310e+02,5.49812e+02
7100,1.77093e+03,7.66316e+02,5.49830e+02
7200,1.78911e+03,7.66263e+02,5.49807e+02
7300,1.80758e+03,7.66332e+02,5.49799e+02
7400,1.82614e+03,7.66262e+02,5.49788e+02
7500,1.84450e+03,7.66264e+02,5.49790e+02
7600,1.86266e+03,7.66166e+02,5.49807e+02
7700,1.88105e+03,7.66190e+02,5.49801e+02
7800,1.89916e+03,7.66157e+02,5.49807e+02
7900,1.91778e+03,7.66247e+02,5.49783e+02
8000,1.93660e+03,7.66297e+02,5.49778e+02
8100,1.95516e+03,7.66295e+02,5.49778e+02
8200,1.97358e+03,7.66295e+02,5.49778e+02
8300,1.99199e+03,7.66295e+02,5.49778e+02
8400,2.01035e+03,7.66294e+02,5.49778e+02
8500,2.02841e+03,7.66294e+02,5.49778e+02
8600,2.04650e+03,7.66293e+02,5.49778e+02
8700,2.06478e+03,7.66293e+02,5.49777e+02
8800,2.08265e+03,7.66292e+02,5.49777e+02
8900,2.10038e+03,7.66292e+02,5.49776e+02
9000,2.11816e+03,7.66291e+02,5.49776e+02
9100,2.13585e+03,7.66290e+02,5.49776e+02
9200,2.15356e+03,7.66291e+02,5.49776e+02
9300,2.17126e+03,7.66290e+02,5.49775e+02
9400,2.18892e+03,7.66291e+02,5.49775e+02
9500,2.20658e+03,7.66290e+02,5.49775e+02
9600,2.22435e+03,7.66290e+02,5.49775e+02
9700,2.24206e+03,7.66290e+02,5.49775e+02
9800,2.25981e+03,7.66291e+02,5.49775e+02
9900,2.27784e+03,7.66290e+02,5.49775e+02
10000,2.29589e+03,7.66290e+02,5.49775e+02
