0,3.58279e+00,1.47090e+01,1.48636e+01,1.46979e+01,1.47963e+01,1.47835e+01
200,4.17620e+02,1.44318e+01,1.45598e+01,1.44220e+01,1.45051e+01,1.44885e+01
400,4.40430e+02,1.42507e+01,1.43489e+01,1.42324e+01,1.43026e+01,1.42931e+01
600,4.63555e+02,1.41239e+01,1.42080e+01,1.41073e+01,1.41680e+01,1.41627e+01
800,4.86604e+02,1.40390e+01,1.41134e+01,1.40254e+01,1.40788e+01,1.40696e+01
1000,5.09423e+02,1.39818e+01,1.40478e+01,1.39684e+01,1.40147e+01,1.40118e+01
1200,5.32195e+02,1.39408e+01,1.40021e+01,1.39287e+01,1.39713e+01,1.39695e+01
1400,5.55105e+02,1.39109e+01,1.39681e+01,1.38996e+01,1.39397e+01,1.39382e+01
1600,5.78923e+02,1.38888e+01,1.39434e+01,1.38777e+01,1.39162e+01,1.39144e+01
1800,6.02285e+02,1.38719e+01,1.39244e+01,1.38611e+01,1.38982e+01,1.38966e+01
2000,6.25372e+02,1.38586e+01,1.39094e+01,1.38480e+01,1.38839e+01,1.38828e+01
2200,6.48444e+02,1.38481e+01,1.38976e+01,1.38375e+01,1.38727e+01,1.38716e+01
2400,6.71590e+02,1.38395e+01,1.38879e+01,1.38291e+01,1.38636e+01,1.38626e+01
2600,6.94594e+02,1.38325e+01,1.38800e+01,1.38221e+01,1.38562e+01,1.38553e+01
2800,7.18137e+02,1.38266e+01,1.38735e+01,1.38163e+01,1.38499e+01,1.38491e+01
3000,7.41254e+02,1.38216e+01,1.38679e+01,1.38114e+01,1.38446e+01,1.38439e+01
3200,7.64748e+02,1.38174e+01,1.38632e+01,1.38073e+01,1.38402e+01,1.38394e+01
3400,7.88150e+02,1.38138e+01,1.38592e+01,1.38037e+01,1.38364e+01,1.38356e+01
3600,8.11043e+02,1.38106e+01,1.38557e+01,1.38006e+01,1.38331e+01,1.38324e+01
3800,8.33801e+02,1.38079e+01,1.38527e+01,1.37980e+01,1.38302e+01,1.38295e+01
4000,8.56533e+02,1.38055e+01,1.38501e+01,1.37956e+01,1.38277e+01,1.38270e+01
4200,8.79385e+02,1.38034e+01,1.38478e+01,1.37936e+01,1.38255e+01,1.38249e+01
4400,9.03373e+02,1.38015e+01,1.38458e+01,1.37918e+01,1.38236e+01,1.38229e+01
4600,9.26778e+02,1.37999e+01,1.38440e+01,1.37901e+01,1.38219e+01,1.38213e+01
4800,9.49662e+02,1.37984e+01,1.38424e+01,1.37887e+01,1.38203e+01,1.38197e+01
5000,9.72533e+02,1.37970e+01,1.38410e+01,1.37874e+01,1.38190e+01,1.38184e+01
5200,9.96237e+02,1.37969e+01,1.38408e+01,1.37873e+01,1.38189e+01,1.38183e+01
5400,1.01985e+03,1.37967e+01,1.38407e+01,1.37871e+01,1.38187e+01,1.38181e+01
5600,1.04381e+03,1.37966e+01,1.38405e+01,1.37870e+01,1.38186e+01,1.38180e+01
5800,1.06804e+03,1.37964e+01,1.38403e+01,1.37868e+01,1.38184e+01,1.38178e+01
6000,1.09187e+03,1.37962e+01,1.38402e+01,1.37867e+01,1.38182e+01,1.38176e+01
6200,1.11703e+03,1.37961e+01,1.38400e+01,1.37865e+01,1.38180e+01,1.38175e+01
6400,1.14110e+03,1.37959e+01,1.38398e+01,1.37863e+01,1.38179e+01,1.38173e+01
6600,1.16547e+03,1.37957e+01,1.38395e+01,1.37861e+01,1.38177e+01,1.38171e+01
6800,1.18994e+03,1.37954e+01,1.38393e+01,1.37859e+01,1.38174e+01,1.38169e+01
7000,1.21413e+03,1.37952e+01,1.38391e+01,1.37857e+01,1.38172e+01,1.38166e+01
7200,1.23823e+03,1.37950e+01,1.38389e+01,1.37855e+01,1.38170e+01,1.38164e+01
7400,1.26226e+03,1.37947e+01,1.38386e+01,1.37853e+01,1.38168e+01,1.38162e+01
7600,1.28640e+03,1.37945e+01,1.38384e+01,1.37850e+01,1.38165e+01,1.38160e+01
7800,1.31053e+03,1.37942e+01,1.38381e+01,1.37848e+01,1.38163e+01,1.38157e+01
8000,1.33446e+03,1.37939e+01,1.38379e+01,1.37845e+01,1.38161e+01,1.38155e+01
8200,1.35847e+03,1.37939e+01,1.38379e+01,1.37845e+01,1.38161e+01,1.38155e+01
8400,1.38258e+03,1.37939e+01,1.38379e+01,1.37845e+01,1.38160e+01,1.38155e+01
8600,1.40666e+03,1.37939e+01,1.38379e+01,1.37845e+01,1.38160e+01,1.38155e+01
8800,1.43072e+03,1.37939e+01,1.38379e+01,1.37845e+01,1.38160e+01,1.38155e+01
9000,1.45409e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38155e+01
9200,1.47769e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38155e+01
9400,1.50116e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38154e+01
9600,1.52482e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38154e+01
9800,1.54845e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38154e+01
10000,1.57145e+03,1.37939e+01,1.38378e+01,1.37845e+01,1.38160e+01,1.38154e+01
