0,4.53675e+00,1.55202e+03,1.18302e+03,1.16211e+03,1.26960e+03,1.58672e+03
50,4.95227e+02,1.54648e+03,1.17821e+03,1.15278e+03,1.27499e+03,1.57901e+03
100,5.04027e+02,1.54236e+03,1.17316e+03,1.14601e+03,1.27644e+03,1.57439e+03
150,5.12932e+02,1.53944e+03,1.16895e+03,1.14207e+03,1.28098e+03,1.57472e+03
200,5.21916e+02,1.53926e+03,1.16533e+03,1.13593e+03,1.27563e+03,1.56889e+03
250,5.31005e+02,1.53825e+03,1.16094e+03,1.12931e+03,1.27129e+03,1.56142e+03
300,5.39960e+02,1.53542e+03,1.15579e+03,1.12027e+03,1.26254e+03,1.56316e+03
350,5.48980e+02,1.53399e+03,1.15000e+03,1.11971e+03,1.25379e+03,1.55970e+03
400,5.58050e+02,1.52909e+03,1.14648e+03,1.11573e+03,1.25350e+03,1.55523e+03
450,5.67134e+02,1.52810e+03,1.14287e+03,1.11041e+03,1.25386e+03,1.55242e+03
500,5.76166e+02,1.52446e+03,1.13870e+03,1.12015e+03,1.24889e+03,1.54865e+03
550,5.85318e+02,1.52140e+03,1.13665e+03,1.10827e+03,1.24878e+03,1.54410e+03
600,5.94386e+02,1.52188e+03,1.13407e+03,1.11272e+03,1.25283e+03,1.54043e+03
650,6.03449e+02,1.52085e+03,1.13126e+03,1.10825e+03,1.24881e+03,1.53781e+03
700,6.12543e+02,1.52171e+03,1.12921e+03,1.11508e+03,1.24790e+03,1.53504e+03
750,6.21645e+02,1.51981e+03,1.12684e+03,1.11946e+03,1.24629e+03,1.53389e+03
800,6.30764e+02,1.52084e+03,1.12467e+03,1.11854e+03,1.24503e+03,1.53063e+03
850,6.39885e+02,1.52113e+03,1.12363e+03,1.11530e+03,1.24479e+03,1.52937e+03
900,6.49034e+02,1.52157e+03,1.12248e+03,1.11287e+03,1.24488e+03,1.52919e+03
950,6.58083e+02,1.52233e+03,1.12076e+03,1.10744e+03,1.24632e+03,1.52689e+03
1000,6.67217e+02,1.52036e+03,1.11946e+03,1.10432e+03,1.24261e+03,1.52336e+03
1050,6.76282e+02,1.52147e+03,1.11701e+03,1.10062e+03,1.24069e+03,1.52391e+03
